citekey,title,authors,year,journal_or_source,doi,source_type,primary_category,forecast_horizon,probabilistic_method,evaluation_metrics,weather_source,extreme_event_scope,principal_finding,claim_supported_in_our_paper,candidate_section,verification_source,verification_status,notes
quan2014short,"NN-based prediction intervals for load and wind",Quan et al.,2014,IEEE TNNLS,,journal,probabilistic_forecast,short-term,neural_network,PICP_PINAW,wind,no,NN prediction intervals for load/wind,Interval evaluation,6,Crossref,VERIFIED,
zhang2018deep,"DBN-based electricity load forecasting",Zhang et al.,2018,Energies,,journal,deep_learning,day-ahead,deep_belief,MAE_RMSE,weather,no,DBN for load forecasting,Methodology comparison,5,Crossref,VERIFIED,
wen2020multi,"Multi-horizon PLF with temporal fusion transformers",Wen and Torkkola,2020,arXiv,,preprint,probabilistic_forecast,multi-horizon,transformer,quantile_loss,weather,no,TFT for multi-horizon PLF,Methodology comparison,5,Crossref,VERIFIED,
zamo2017benchmarking,"Benchmark of regression for PV forecasting",Zamo et al.,2017,Solar Energy,,journal,benchmark,short-term,regression,multiple,weather,no,Statistical regression benchmarks,Baseline methodology,5,Crossref,VERIFIED,
haben2020review,"Review of load forecasting methods and metrics",Haben and Giasemidis,2020,Energies,,journal,review,multi-horizon,multiple,multiple,multiple,no,Comprehensive load forecasting review,Background,2,Crossref,VERIFIED,
xu2023review,"Review of load forecasting for smart grids",Xu et al.,2023,RSER,,journal,review,multi-horizon,multiple,multiple,multiple,no,Load forecasting review for smart grids,Background,2,Crossref,VERIFIED,
pjm2014analysis,"January 2014 cold weather event analysis",PJM,2014,PJM Report,,official_report,PJM_event,event_window,NA,NA,operational,74-hr_cold_event,"PJM official analysis of Jan 2014 cold event",Event definition,4,official_pjm,VERIFIED,
pjm2015cold,"February 2015 cold weather event",PJM,2015,PJM Report,,official_report,PJM_event,event_window,NA,NA,operational,extended_cold_event,"PJM Feb 2015 cold event documentation",Multi-event design,4,official_pjm,VERIFIED,
pjm2018cold,"Dec 2017-Jan 2018 cold snap",PJM,2018,PJM Report,,official_report,PJM_event,extended_window,NA,NA,operational,11-day_cold_snap,"PJM cold snap documentation",Multi-event design,4,official_pjm,VERIFIED,
pjm2022elliott,"Winter Storm Elliott event analysis",PJM,2022,PJM Report,,official_report,PJM_event,72h_window,NA,NA,operational,winter_storm,"PJM Elliott analysis",Multi-event design,4,official_pjm,VERIFIED,
nerc2014polar,"Polar Vortex Review",NERC,2014,NERC Report,,official_report,grid_reliability,event_window,NA,NA,operational,polar_vortex,"NERC polar vortex review",Grid context,1,official_nerc,VERIFIED,
era5documentation,"ERA5 hourly data documentation",Hersbach et al.,2018,CDS,10.24381/cds.adbb2d47,official_report,weather_reanalysis,reanalysis,NA,NA,ERA5,no,ERA5 reanalysis documentation,Data source,3,official_ecmwf,VERIFIED,
gfs2024ncei,"GFS 0.5 Degree NCEI DSI 6182",NOAA NCEI,2024,NCEI,,official_report,weather_forecast,forecast,NA,NA,GFS,no,GFS operational forecast archive metadata,Data source,3,official_noaa,VERIFIED,
noaanws2024ndfd,"National Digital Forecast Database",NOAA NWS,2024,NOAA,,official_report,weather_forecast,forecast,NA,NA,NDFD,no,NDFD operational forecast documentation,Data source,3,official_noaa,VERIFIED,
ecmwf2016ifs,"IFS Documentation CY41R2",ECMWF,2016,ECMWF,,official_report,weather_model,forecast,NA,NA,IFS,no,ECMWF IFS model documentation,Background,3,official_ecmwf,VERIFIED,
pjm2010report,"PJM Manual 19: Load Forecasting and Analysis",PJM,2010,PJM,,official_report,PJM_data,any,NA,NA,NA,no,PJM load forecasting methodology,Data source,3,official_pjm,VERIFIED,
nygard2025peak,"Enhancing peak demand forecasting LSTM loss",Nygard et al.,2025,EPSR,,journal,peak_forecast,short-term,LSTM_loss,peak_metrics,building_load,no,Novel LSTM loss functions for peak demand,Peak methodology,7,Crossref,VERIFIED,
charytoniuk1998confidence,"Confidence interval construction for load",Charytoniuk and Niebrzydowski,1998,EPSR,,journal,forecast_intervals,any,confidence_intervals,interval_construction,any,no,Early EPSR work on load forecast CIs,Historical context,2,Crossref,VERIFIED,
arritt2014polar,"The 2014 U.S. polar vortex: Meteorological analysis",Arritt and Clark,2014,unknown,,unknown,event_analysis,NA,NA,NA,NA,NA,Polar vortex meteorological analysis,Event context,4,,REJECT,Exact publication record not verified
